timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703022874711,1,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-920,text,false,,2244,0,671,671,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=k,0,0,0
1703022811679,63096,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-921,text,false,,3042,0,670,670,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=l,0,0,63096
1703022874774,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-921,text,false,,2244,0,670,670,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=l,0,0,0
1703022811727,63111,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-922,text,false,,3042,0,669,669,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=m,0,0,63111
1703022874838,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-922,text,false,,2244,0,669,669,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=m,0,0,0
1703022811790,63128,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-923,text,false,,3042,0,668,668,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=n,0,0,63128
1703022874918,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-923,text,false,,2244,0,668,668,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=n,0,0,0
1703022811852,63098,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-924,text,false,,3042,0,667,667,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=ñ,0,0,63098
1703022874950,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-924,text,false,,2244,0,667,667,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=ñ,0,0,0
1703022811915,63098,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-925,text,false,,3042,0,666,666,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=o,0,0,63098
1703022875014,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-925,text,false,,2244,0,666,666,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=o,0,0,0
1703022811979,63113,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-926,text,false,,3042,0,665,665,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=p,0,0,63113
1703022875093,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-926,text,false,,2244,0,665,665,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=p,0,0,0
1703022812026,63098,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-927,text,false,,3042,0,664,664,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=q,0,0,63097
1703022875125,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-927,text,false,,2244,0,664,664,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=q,0,0,0
